[log] tee initialized at 2025-12-09 16:05:50 -> temp_Bidi_cvae_11param_2channel\cvae_20251209-160550\train.log
[Data] Warning: Single measurement sample detected. Duplicating to N=2 for BatchNorm compatibility.
[Info] Loading dual proxies from temp_Bidi_cvae_11param_2channel/proxy_dual
[L_trust] using 20000 ref rows from temp_Bidi_cvae_11param_2channel/proxy_dual\proxy_Ytr_norm.npy
D:\Miniconda\envs\DL\Lib\site-packages\torch\optim\lr_scheduler.py:182: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
 >> Epoch 001 | Train Total=23.8247 | Val post/prior Total=11.5763/9.5550, Recon post/prior=0.8611/0.8506, KL=4.3176, | CycSim post total/iv/gm=0.8555/0.3640/0.4914, | CycSim prior total/iv/gm=0.8703/0.3680/0.5023, | CycMeas total/iv/gm=0.5381/0.2037/0.3343, | train Physical Sim/Meas=0.0145/2.8137, | PriorBnd post/prior=1.77e-06/2.39e-07 | Best inf | Patience 1/100
[Update] best val_cyc_meas improved to 0.538082 @ epoch 1
 >> Epoch 002 | Train Total=22.6449 | Val post/prior Total=10.1885/8.0971, Recon post/prior=0.8480/0.8313, KL=4.2528, | CycSim post total/iv/gm=0.7213/0.3052/0.4161, | CycSim prior total/iv/gm=0.7264/0.3076/0.4188, | CycMeas total/iv/gm=0.3794/0.1464/0.2330, | train Physical Sim/Meas=0.0139/2.8150, | PriorBnd post/prior=5.32e-06/2.24e-06 | Best 0.5381 | Patience 1/100
[Update] best val_cyc_meas improved to 0.379351 @ epoch 2
 >> Epoch 003 | Train Total=21.1215 | Val post/prior Total=10.3325/8.1858, Recon post/prior=0.8511/0.8352, KL=4.3609, | CycSim post total/iv/gm=0.7299/0.3150/0.4149, | CycSim prior total/iv/gm=0.7347/0.3169/0.4178, | CycMeas total/iv/gm=0.7834/0.3099/0.4736, | train Physical Sim/Meas=0.0126/2.7461, | PriorBnd post/prior=4.52e-06/4.45e-08 | Best 0.3794 | Patience 1/100
 >> Epoch 004 | Train Total=20.8446 | Val post/prior Total=9.9946/7.8462, Recon post/prior=0.8377/0.8256, KL=5.0001, | CycSim post total/iv/gm=0.6655/0.2843/0.3812, | CycSim prior total/iv/gm=0.7018/0.3006/0.4012, | CycMeas total/iv/gm=0.3252/0.1238/0.2013, | train Physical Sim/Meas=0.0123/2.6022, | PriorBnd post/prior=1.48e-06/5.71e-09 | Best 0.3794 | Patience 2/100
[Update] best val_cyc_meas improved to 0.325159 @ epoch 4
 >> Epoch 005 | Train Total=20.9326 | Val post/prior Total=10.5519/8.4094, Recon post/prior=0.8434/0.8327, KL=5.3031, | CycSim post total/iv/gm=0.7055/0.2973/0.4082, | CycSim prior total/iv/gm=0.7573/0.3192/0.4381, | CycMeas total/iv/gm=0.6229/0.2353/0.3876, | train Physical Sim/Meas=0.0122/2.4261, | PriorBnd post/prior=3.06e-06/3.05e-08 | Best 0.3252 | Patience 1/100
 >> Epoch 006 | Train Total=21.1147 | Val post/prior Total=9.9420/6.7636, Recon post/prior=0.8426/0.8295, KL=7.0315, | CycSim post total/iv/gm=0.5582/0.2307/0.3274, | CycSim prior total/iv/gm=0.5932/0.2459/0.3473, | CycMeas total/iv/gm=0.1711/0.0593/0.1118, | train Physical Sim/Meas=0.0120/2.1678, | PriorBnd post/prior=9.37e-06/1.50e-07 | Best 0.3252 | Patience 2/100
[Update] best val_cyc_meas improved to 0.171072 @ epoch 6
 >> Epoch 007 | Train Total=19.7564 | Val post/prior Total=8.5777/4.9377, Recon post/prior=0.8508/0.8253, KL=7.5638, | CycSim post total/iv/gm=0.3942/0.1689/0.2253, | CycSim prior total/iv/gm=0.4110/0.1753/0.2357, | CycMeas total/iv/gm=0.1319/0.0431/0.0888, | train Physical Sim/Meas=0.0103/1.3996, | PriorBnd post/prior=1.08e-04/2.92e-07 | Best 0.1711 | Patience 1/100
[Update] best val_cyc_meas improved to 0.131857 @ epoch 7
 >> Epoch 008 | Train Total=23.3918 | Val post/prior Total=10.2600/5.1891, Recon post/prior=0.9158/0.8691, KL=9.0028, | CycSim post total/iv/gm=0.4838/0.2123/0.2715, | CycSim prior total/iv/gm=0.4315/0.1874/0.2441, | CycMeas total/iv/gm=0.2780/0.1095/0.1685, | train Physical Sim/Meas=0.0119/0.8244, | PriorBnd post/prior=1.40e-03/1.76e-04 | Best 0.1319 | Patience 1/100
 >> Epoch 009 | Train Total=17.5766 | Val post/prior Total=8.9987/5.3328, Recon post/prior=0.9329/0.8660, KL=8.1229, | CycSim post total/iv/gm=0.3998/0.1696/0.2302, | CycSim prior total/iv/gm=0.4461/0.1869/0.2592, | CycMeas total/iv/gm=0.2693/0.1134/0.1559, | train Physical Sim/Meas=0.0086/0.6362, | PriorBnd post/prior=1.56e-03/1.88e-05 | Best 0.1319 | Patience 2/100
 >> Epoch 010 | Train Total=19.5899 | Val post/prior Total=8.9817/5.0607, Recon post/prior=0.9873/0.9056, KL=8.5307, | CycSim post total/iv/gm=0.3721/0.1544/0.2176, | CycSim prior total/iv/gm=0.4147/0.1704/0.2443, | CycMeas total/iv/gm=0.4056/0.1743/0.2313, | train Physical Sim/Meas=0.0092/0.5732, | PriorBnd post/prior=1.09e-03/2.63e-05 | Best 0.1319 | Patience 3/100
 >> Epoch 011 | Train Total=22.2361 | Val post/prior Total=9.0614/5.8594, Recon post/prior=1.0563/0.9549, KL=7.1409, | CycSim post total/iv/gm=0.4424/0.1867/0.2557, | CycSim prior total/iv/gm=0.4896/0.2010/0.2886, | CycMeas total/iv/gm=0.1805/0.0848/0.0957, | train Physical Sim/Meas=0.0105/0.6676, | PriorBnd post/prior=2.76e-03/1.47e-04 | Best 0.1319 | Patience 4/100
 >> Epoch 012 | Train Total=12.5676 | Val post/prior Total=6.5606/5.1901, Recon post/prior=1.0174/0.9622, KL=2.6649, | CycSim post total/iv/gm=0.4201/0.1844/0.2357, | CycSim prior total/iv/gm=0.4218/0.1840/0.2377, | CycMeas total/iv/gm=0.2316/0.0989/0.1327, | train Physical Sim/Meas=0.0062/0.7927, | PriorBnd post/prior=7.70e-03/5.43e-03 | Best 0.1319 | Patience 5/100
 >> Epoch 013 | Train Total=10.2512 | Val post/prior Total=6.6402/5.4030, Recon post/prior=1.0111/0.9678, KL=2.0575, | CycSim post total/iv/gm=0.4590/0.2060/0.2529, | CycSim prior total/iv/gm=0.4424/0.1966/0.2458, | CycMeas total/iv/gm=0.1628/0.0697/0.0930, | train Physical Sim/Meas=0.0053/1.0517, | PriorBnd post/prior=1.22e-02/1.07e-02 | Best 0.1319 | Patience 6/100
 >> Epoch 014 | Train Total=9.3597 | Val post/prior Total=5.7687/4.6877, Recon post/prior=0.9641/0.9550, KL=1.8335, | CycSim post total/iv/gm=0.3878/0.1705/0.2173, | CycSim prior total/iv/gm=0.3722/0.1629/0.2093, | CycMeas total/iv/gm=0.1123/0.0526/0.0597, | train Physical Sim/Meas=0.0048/1.0873, | PriorBnd post/prior=1.20e-02/1.15e-02 | Best 0.1319 | Patience 7/100
