[log] tee initialized at 2025-11-05 01:28:55 -> temp_Bidi_cvae\cvae_20251105-012855\train.log
[L_trust] using 20000 ref rows from temp_Bidi_cvae\proxy\proxy_Ytr_norm.npy
 >> Epoch 001 | Train Total=98.6550 | Val post/prior Total=48183898.1494/1.1080, Recon post/prior=18.2131/0.7873, KL=480746641.7541, CycSim post/prior=0.1759/0.1324, CycMeas=0.1991, PriorBnd post/prior=5.49e+00/1.35e-03 | Best inf | Patience 1/40
[Update] best val_cyc_meas improved to 0.199128 @ epoch 1
 >> Epoch 002 | Train Total=0.5412 | Val post/prior Total=3593.3077/1.0038, Recon post/prior=1.2174/0.7479, KL=35170.9327, CycSim post/prior=0.1390/0.0959, CycMeas=0.1734, PriorBnd post/prior=1.11e-01/4.34e-04 | Best 0.1991 | Patience 1/40
[Update] best val_cyc_meas improved to 0.173388 @ epoch 2
 >> Epoch 003 | Train Total=0.4274 | Val post/prior Total=697.3785/0.9672, Recon post/prior=0.7819/0.7344, KL=6958.5988, CycSim post/prior=0.1307/0.0909, CycMeas=0.1518, PriorBnd post/prior=1.23e-02/2.76e-04 | Best 0.1734 | Patience 1/40
[Update] best val_cyc_meas improved to 0.151820 @ epoch 3
 >> Epoch 004 | Train Total=0.3922 | Val post/prior Total=184.3877/0.9204, Recon post/prior=0.9080/0.7228, KL=1683.5946, CycSim post/prior=0.1142/0.0685, CycMeas=0.1411, PriorBnd post/prior=6.01e-02/2.82e-04 | Best 0.1518 | Patience 1/40
[Update] best val_cyc_meas improved to 0.141056 @ epoch 4
 >> Epoch 005 | Train Total=0.3738 | Val post/prior Total=4.8211/0.9163, Recon post/prior=0.7329/0.7215, KL=39.3374, CycSim post/prior=0.1116/0.0768, CycMeas=0.1255, PriorBnd post/prior=1.63e-03/1.71e-04 | Best 0.1411 | Patience 1/40
[Update] best val_cyc_meas improved to 0.125468 @ epoch 5
 >> Epoch 006 | Train Total=0.3624 | Val post/prior Total=17.5006/0.8952, Recon post/prior=0.7519/0.7118, KL=160.7814, CycSim post/prior=0.1039/0.0630, CycMeas=0.1313, PriorBnd post/prior=9.26e-03/1.97e-04 | Best 0.1255 | Patience 1/40
 >> Epoch 007 | Train Total=0.3529 | Val post/prior Total=1.2276/0.8988, Recon post/prior=0.7178/0.7087, KL=3.7742, CycSim post/prior=0.1020/0.0675, CycMeas=0.1332, PriorBnd post/prior=1.52e-03/1.44e-04 | Best 0.1255 | Patience 2/40
 >> Epoch 008 | Train Total=0.3468 | Val post/prior Total=2.4144/0.8715, Recon post/prior=0.7229/0.7062, KL=15.2535, CycSim post/prior=0.0941/0.0612, CycMeas=0.1115, PriorBnd post/prior=2.68e-03/1.20e-04 | Best 0.1255 | Patience 3/40
[Update] best val_cyc_meas improved to 0.111493 @ epoch 8
 >> Epoch 009 | Train Total=0.3425 | Val post/prior Total=1.9168/0.8696, Recon post/prior=0.7276/0.7038, KL=8.9375, CycSim post/prior=0.0939/0.0596, CycMeas=0.1144, PriorBnd post/prior=5.58e-03/1.10e-04 | Best 0.1115 | Patience 1/40
