[log] tee initialized at 2025-11-05 03:24:28 -> temp_Bidi_cvae\session_20251105-032428.log
Using CUDA device 0: NVIDIA GeForce RTX 4060 Laptop GPU
[log] tee initialized at 2025-11-05 03:24:31 -> temp_Bidi_cvae\cvae_20251105-032431\train.log
[L_trust] using 20000 ref rows from temp_Bidi_cvae\proxy\proxy_Ytr_norm.npy
 >> Epoch 001 | Train Total=96.2670 | Val post/prior Total=50724895.9541/1.0786, Recon post/prior=17.6113/0.7702, KL=506203874.1910, CycSim post/prior=0.1690/0.1273, CycMeas=0.1917, PriorBnd post/prior=5.39e+00/1.03e-03 | Best inf | Patience 1/40
[Update] best val_cyc_meas improved to 0.191672 @ epoch 1
 >> Epoch 002 | Train Total=0.9075 | Val post/prior Total=3781.1457/0.9767, Recon post/prior=1.1394/0.7303, KL=37223.2384, CycSim post/prior=0.1324/0.0915, CycMeas=0.1679, PriorBnd post/prior=1.02e-01/3.99e-04 | Best 0.1917 | Patience 1/40
[Update] best val_cyc_meas improved to 0.167937 @ epoch 2
 >> Epoch 003 | Train Total=0.7832 | Val post/prior Total=700.9978/0.9333, Recon post/prior=0.7605/0.7158, KL=6995.3234, CycSim post/prior=0.1215/0.0847, CycMeas=0.1421, PriorBnd post/prior=1.21e-02/2.91e-04 | Best 0.1679 | Patience 1/40
[Update] best val_cyc_meas improved to 0.142088 @ epoch 3
 >> Epoch 004 | Train Total=0.7425 | Val post/prior Total=189.4342/0.8818, Recon post/prior=0.8569/0.7010, KL=1783.2030, CycSim post/prior=0.1070/0.0658, CycMeas=0.1239, PriorBnd post/prior=5.09e-02/2.76e-04 | Best 0.1421 | Patience 1/40
[Update] best val_cyc_meas improved to 0.123888 @ epoch 4
 >> Epoch 005 | Train Total=0.7179 | Val post/prior Total=4.7270/0.8843, Recon post/prior=0.7084/0.6989, KL=38.8079, CycSim post/prior=0.1039/0.0720, CycMeas=0.1208, PriorBnd post/prior=1.38e-03/1.80e-04 | Best 0.1239 | Patience 1/40
[Update] best val_cyc_meas improved to 0.120811 @ epoch 5
 >> Epoch 006 | Train Total=0.7033 | Val post/prior Total=18.3771/0.8654, Recon post/prior=0.7190/0.6863, KL=172.3065, CycSim post/prior=0.0980/0.0607, CycMeas=0.1294, PriorBnd post/prior=8.29e-03/1.93e-04 | Best 0.1208 | Patience 1/40
 >> Epoch 007 | Train Total=0.6916 | Val post/prior Total=1.2197/0.8657, Recon post/prior=0.6907/0.6827, KL=4.0791, CycSim post/prior=0.0956/0.0626, CycMeas=0.1314, PriorBnd post/prior=1.22e-03/1.41e-04 | Best 0.1208 | Patience 2/40
 >> Epoch 008 | Train Total=0.6832 | Val post/prior Total=2.8106/0.8364, Recon post/prior=0.6913/0.6781, KL=19.7970, CycSim post/prior=0.0862/0.0567, CycMeas=0.1092, PriorBnd post/prior=1.74e-03/1.21e-04 | Best 0.1208 | Patience 3/40
[Update] best val_cyc_meas improved to 0.109229 @ epoch 8
 >> Epoch 009 | Train Total=0.6772 | Val post/prior Total=1.9271/0.8366, Recon post/prior=0.6973/0.6751, KL=9.8547, CycSim post/prior=0.0856/0.0541, CycMeas=0.1171, PriorBnd post/prior=4.98e-03/1.35e-04 | Best 0.1092 | Patience 1/40
 >> Epoch 010 | Train Total=0.6716 | Val post/prior Total=1.4175/0.8151, Recon post/prior=0.6868/0.6697, KL=5.7565, CycSim post/prior=0.0852/0.0515, CycMeas=0.1008, PriorBnd post/prior=3.66e-03/1.24e-04 | Best 0.1092 | Patience 2/40
[Update] best val_cyc_meas improved to 0.100837 @ epoch 10
 >> Epoch 011 | Train Total=0.6686 | Val post/prior Total=1.1759/0.8123, Recon post/prior=0.6768/0.6657, KL=3.7973, CycSim post/prior=0.0856/0.0527, CycMeas=0.1004, PriorBnd post/prior=1.70e-03/1.28e-04 | Best 0.1008 | Patience 1/40
[Update] best val_cyc_meas improved to 0.100388 @ epoch 11
 >> Epoch 012 | Train Total=0.6643 | Val post/prior Total=0.8667/0.8142, Recon post/prior=0.6744/0.6654, KL=0.8350, CycSim post/prior=0.0813/0.0508, CycMeas=0.1060, PriorBnd post/prior=1.67e-03/1.13e-04 | Best 0.1004 | Patience 1/40
 >> Epoch 013 | Train Total=0.6613 | Val post/prior Total=0.8579/0.8156, Recon post/prior=0.6707/0.6628, KL=0.8419, CycSim post/prior=0.0794/0.0513, CycMeas=0.1103, PriorBnd post/prior=1.09e-03/9.84e-05 | Best 0.1004 | Patience 2/40
