[log] tee initialized at 2025-11-06 13:02:22 -> temp_Bidi_cvae\session_20251106-130222.log
Using CUDA device 0: NVIDIA GeForce RTX 4060 Laptop GPU
[log] tee initialized at 2025-11-06 13:02:27 -> temp_Bidi_cvae\cvae_20251106-130227\train.log
[L_trust] using 20000 ref rows from temp_Bidi_cvae/proxy\proxy_Ytr_norm.npy
 >> Epoch 001 | Train Total=67.5583 | Val post/prior Total=57558815.5545/1.0731, Recon post/prior=16.6649/0.7673, KL=574616607.7044, CycSim post/prior=0.1670/0.1257, CycMeas=0.1908, PriorBnd post/prior=5.18e+00/9.53e-04 | Best inf | Patience 1/40
[Update] best val_cyc_meas improved to 0.190796 @ epoch 1
 >> Epoch 002 | Train Total=0.9800 | Val post/prior Total=3543.6919/0.9703, Recon post/prior=1.1410/0.7271, KL=34849.6133, CycSim post/prior=0.1315/0.0905, CycMeas=0.1653, PriorBnd post/prior=1.04e-01/4.01e-04 | Best 0.1908 | Patience 1/40
[Update] best val_cyc_meas improved to 0.165318 @ epoch 2
 >> Epoch 003 | Train Total=0.8536 | Val post/prior Total=792.5897/0.9263, Recon post/prior=0.7576/0.7122, KL=7911.0394, CycSim post/prior=0.1216/0.0847, CycMeas=0.1377, PriorBnd post/prior=1.21e-02/2.91e-04 | Best 0.1653 | Patience 1/40
[Update] best val_cyc_meas improved to 0.137719 @ epoch 3
 >> Epoch 004 | Train Total=0.8119 | Val post/prior Total=195.0823/0.8774, Recon post/prior=0.8733/0.6976, KL=1812.4684, CycSim post/prior=0.1059/0.0651, CycMeas=0.1237, PriorBnd post/prior=5.67e-02/2.77e-04 | Best 0.1377 | Patience 1/40
[Update] best val_cyc_meas improved to 0.123684 @ epoch 4
 >> Epoch 005 | Train Total=0.7865 | Val post/prior Total=4.8727/0.8808, Recon post/prior=0.7057/0.6954, KL=40.2618, CycSim post/prior=0.1029/0.0715, CycMeas=0.1215, PriorBnd post/prior=1.53e-03/1.62e-04 | Best 0.1237 | Patience 1/40
[Update] best val_cyc_meas improved to 0.121478 @ epoch 5
 >> Epoch 006 | Train Total=0.7713 | Val post/prior Total=21.3639/0.8634, Recon post/prior=0.7113/0.6825, KL=203.0118, CycSim post/prior=0.0976/0.0605, CycMeas=0.1318, PriorBnd post/prior=7.24e-03/1.78e-04 | Best 0.1215 | Patience 1/40
 >> Epoch 007 | Train Total=0.7590 | Val post/prior Total=1.2918/0.8568, Recon post/prior=0.6863/0.6786, KL=4.8621, CycSim post/prior=0.0942/0.0610, CycMeas=0.1279, PriorBnd post/prior=1.15e-03/1.42e-04 | Best 0.1215 | Patience 2/40
