[log] tee initialized at 2025-11-28 16:51:10 -> temp_Unidi_cvae_14param_2channel\cvae_20251128-165110\train.log
[Data] Warning: Single measurement sample detected. Duplicating to N=2 for BatchNorm compatibility.
[Info] Loading dual proxies from temp_Unidi_cvae_14param_2channel/proxy_dual
[L_trust] using 20000 ref rows from temp_Unidi_cvae_14param_2channel/proxy_dual\proxy_Ytr_norm.npy
D:\Miniconda\envs\DL\Lib\site-packages\torch\optim\lr_scheduler.py:182: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
 >> Epoch 001 | Train Total=34.4145 | Val post/prior Total=11.7074/9.6440, Recon post/prior=0.9081/0.8921, KL=3.4336, | CycSim post total/iv/gm=0.9078/0.4013/0.5065, | CycSim prior total/iv/gm=0.8748/0.3859/0.4889, | CycMeas total/iv/gm=0.2863/0.1440/0.1423, | PriorBnd post/prior=5.46e-04/2.26e-04 | Best inf | Patience 1/80
[Update] best val_cyc_meas improved to 0.286324 @ epoch 1
 >> Epoch 002 | Train Total=14.8355 | Val post/prior Total=12.0095/10.8195, Recon post/prior=0.9174/0.9138, KL=2.1548, | CycSim post total/iv/gm=1.0009/0.4437/0.5572, | CycSim prior total/iv/gm=0.9900/0.4392/0.5508, | CycMeas total/iv/gm=0.3255/0.1573/0.1682, | PriorBnd post/prior=1.05e-03/1.02e-03 | Best 0.2863 | Patience 1/80
 >> Epoch 003 | Train Total=12.6673 | Val post/prior Total=11.3126/10.3269, Recon post/prior=0.9278/0.9315, KL=1.8567, | CycSim post total/iv/gm=0.9450/0.4178/0.5272, | CycSim prior total/iv/gm=0.9389/0.4146/0.5242, | CycMeas total/iv/gm=0.2919/0.1350/0.1568, | PriorBnd post/prior=1.18e-03/1.28e-03 | Best 0.2863 | Patience 2/80
 >> Epoch 004 | Train Total=11.4393 | Val post/prior Total=10.9800/9.9474, Recon post/prior=0.9347/0.9372, KL=1.7354, | CycSim post total/iv/gm=0.9171/0.4030/0.5141, | CycSim prior total/iv/gm=0.9003/0.3951/0.5052, | CycMeas total/iv/gm=0.2973/0.1346/0.1627, | PriorBnd post/prior=1.61e-03/1.54e-03 | Best 0.2863 | Patience 3/80
 >> Epoch 005 | Train Total=10.4866 | Val post/prior Total=11.7909/11.0028, Recon post/prior=0.9393/0.9473, KL=1.5670, | CycSim post total/iv/gm=1.0061/0.4463/0.5599, | CycSim prior total/iv/gm=1.0047/0.4451/0.5596, | CycMeas total/iv/gm=0.3157/0.1401/0.1756, | PriorBnd post/prior=2.03e-03/2.28e-03 | Best 0.2863 | Patience 4/80
 >> Epoch 006 | Train Total=10.0627 | Val post/prior Total=9.6535/8.7729, Recon post/prior=0.9371/0.9454, KL=1.6440, | CycSim post total/iv/gm=0.7887/0.3470/0.4417, | CycSim prior total/iv/gm=0.7819/0.3434/0.4385, | CycMeas total/iv/gm=0.3479/0.1575/0.1905, | PriorBnd post/prior=1.60e-03/1.56e-03 | Best 0.2863 | Patience 5/80
 >> Epoch 007 | Train Total=9.4411 | Val post/prior Total=10.5336/9.6092, Recon post/prior=0.9262/0.9319, KL=1.6900, | CycSim post total/iv/gm=0.8756/0.3836/0.4920, | CycSim prior total/iv/gm=0.8669/0.3793/0.4876, | CycMeas total/iv/gm=0.3172/0.1395/0.1777, | PriorBnd post/prior=1.54e-03/1.41e-03 | Best 0.2863 | Patience 6/80
 >> Epoch 008 | Train Total=9.2878 | Val post/prior Total=11.7030/10.6972, Recon post/prior=0.9491/0.9588, KL=1.9914, | CycSim post total/iv/gm=0.9751/0.4266/0.5485, | CycSim prior total/iv/gm=0.9728/0.4244/0.5484, | CycMeas total/iv/gm=0.3790/0.1702/0.2088, | PriorBnd post/prior=2.69e-03/2.83e-03 | Best 0.2863 | Patience 7/80
 >> Epoch 009 | Train Total=8.7884 | Val post/prior Total=11.0569/10.0899, Recon post/prior=0.9174/0.9272, KL=1.8411, | CycSim post total/iv/gm=0.9212/0.3974/0.5239, | CycSim prior total/iv/gm=0.9153/0.3936/0.5218, | CycMeas total/iv/gm=0.3584/0.1584/0.2001, | PriorBnd post/prior=8.94e-04/7.10e-04 | Best 0.2863 | Patience 8/80
 >> Epoch 010 | Train Total=8.5822 | Val post/prior Total=11.2407/10.3426, Recon post/prior=0.9182/0.9249, KL=1.7109, | CycSim post total/iv/gm=0.9460/0.4109/0.5351, | CycSim prior total/iv/gm=0.9409/0.4082/0.5326, | CycMeas total/iv/gm=0.3189/0.1412/0.1776, | PriorBnd post/prior=5.66e-04/5.73e-04 | Best 0.2863 | Patience 9/80
