[log] tee initialized at 2025-11-30 17:56:35 -> /content/drive/MyDrive/DL_Training/ASM_HEMT/model_Uni_2Channel/session_20251130-175635.log
Using CUDA device 0: NVIDIA A100-SXM4-40GB
[log] tee initialized at 2025-11-30 17:56:43 -> /content/drive/MyDrive/DL_Training/ASM_HEMT/model_Uni_2Channel/cvae_20251130-175643/train.log
[Data] Warning: Single measurement sample detected. Duplicating to N=2 for BatchNorm compatibility.
[Info] Loading dual proxies from /content/drive/MyDrive/DL_Training/ASM_HEMT/model_Uni_2Channel/proxy_dual_bigger
[L_trust] using 20000 ref rows from /content/drive/MyDrive/DL_Training/ASM_HEMT/model_Uni_2Channel/proxy_dual_bigger/proxy_Ytr_norm.npy
/usr/local/lib/python3.12/dist-packages/torch/optim/lr_scheduler.py:192: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
 >> Epoch 001 | Train Total=13.7103 | Val post/prior Total=12.0024/11.2466, Recon post/prior=0.9087/0.9051, KL=1.5064, | CycSim post total/iv/gm=1.0335/0.4557/0.5778, | CycSim prior total/iv/gm=1.0336/0.4542/0.5795, | CycMeas total/iv/gm=0.3630/0.1694/0.1936, | PriorBnd post/prior=7.06e-04/4.96e-04 | Best inf | Patience 1/100
[Update] best val_cyc_meas improved to 0.362973 @ epoch 1
 >> Epoch 002 | Train Total=7.3594 | Val post/prior Total=11.1000/10.1629, Recon post/prior=0.9095/0.9102, KL=1.4819, | CycSim post total/iv/gm=0.9444/0.4074/0.5369, | CycSim prior total/iv/gm=0.9246/0.3983/0.5264, | CycMeas total/iv/gm=0.2276/0.0997/0.1278, | PriorBnd post/prior=4.57e-04/2.53e-04 | Best 0.3630 | Patience 1/100
[Update] best val_cyc_meas improved to 0.227577 @ epoch 2
 >> Epoch 003 | Train Total=6.4323 | Val post/prior Total=11.4845/10.7365, Recon post/prior=0.9056/0.9095, KL=1.2938, | CycSim post total/iv/gm=0.9926/0.4278/0.5648, | CycSim prior total/iv/gm=0.9820/0.4217/0.5603, | CycMeas total/iv/gm=0.2718/0.1217/0.1501, | PriorBnd post/prior=4.42e-04/3.01e-04 | Best 0.2276 | Patience 1/100
 >> Epoch 004 | Train Total=5.9413 | Val post/prior Total=11.6212/10.7526, Recon post/prior=0.9097/0.9132, KL=1.3442, | CycSim post total/iv/gm=1.0033/0.4355/0.5678, | CycSim prior total/iv/gm=0.9832/0.4257/0.5575, | CycMeas total/iv/gm=0.4253/0.1990/0.2263, | PriorBnd post/prior=5.25e-04/3.82e-04 | Best 0.2276 | Patience 2/100
 >> Epoch 005 | Train Total=5.6662 | Val post/prior Total=11.7995/10.9403, Recon post/prior=0.9147/0.9187, KL=1.5479, | CycSim post total/iv/gm=1.0104/0.4377/0.5727, | CycSim prior total/iv/gm=1.0013/0.4330/0.5684, | CycMeas total/iv/gm=0.3909/0.1819/0.2089, | PriorBnd post/prior=5.77e-04/6.22e-04 | Best 0.2276 | Patience 3/100
 >> Epoch 006 | Train Total=5.5707 | Val post/prior Total=11.8606/11.0397, Recon post/prior=0.9085/0.9117, KL=1.3399, | CycSim post total/iv/gm=1.0276/0.4442/0.5833, | CycSim prior total/iv/gm=1.0120/0.4372/0.5748, | CycMeas total/iv/gm=0.3750/0.1733/0.2017, | PriorBnd post/prior=6.00e-04/7.18e-04 | Best 0.2276 | Patience 4/100
 >> Epoch 007 | Train Total=5.3446 | Val post/prior Total=12.3493/11.3428, Recon post/prior=0.9176/0.9226, KL=1.8558, | CycSim post total/iv/gm=1.0497/0.4536/0.5960, | CycSim prior total/iv/gm=1.0411/0.4493/0.5918, | CycMeas total/iv/gm=0.2995/0.1330/0.1666, | PriorBnd post/prior=7.67e-04/8.70e-04 | Best 0.2276 | Patience 5/100
 >> Epoch 008 | Train Total=5.2420 | Val post/prior Total=13.1587/12.3222, Recon post/prior=0.9076/0.9115, KL=1.4245, | CycSim post total/iv/gm=1.1532/0.5033/0.6499, | CycSim prior total/iv/gm=1.1402/0.4981/0.6421, | CycMeas total/iv/gm=0.3068/0.1369/0.1699, | PriorBnd post/prior=1.15e-03/1.23e-03 | Best 0.2276 | Patience 6/100
 >> Epoch 009 | Train Total=5.0771 | Val post/prior Total=12.0661/11.3313, Recon post/prior=0.9087/0.9111, KL=1.1860, | CycSim post total/iv/gm=1.0557/0.4636/0.5921, | CycSim prior total/iv/gm=1.0411/0.4574/0.5837, | CycMeas total/iv/gm=0.3131/0.1380/0.1751, | PriorBnd post/prior=1.05e-03/1.10e-03 | Best 0.2276 | Patience 7/100
