[log] tee initialized at 2025-11-28 16:50:23 -> temp_Unidi_cvae_14param_2channel\session_20251128-165023.log
Using CUDA device 0: NVIDIA GeForce RTX 4060 Laptop GPU
[log] tee initialized at 2025-11-28 16:50:27 -> temp_Unidi_cvae_14param_2channel\cvae_20251128-165027\train.log
[Data] Warning: Single measurement sample detected. Duplicating to N=2 for BatchNorm compatibility.
[Info] Loading dual proxies from temp_Unidi_cvae_14param_2channel/proxy_dual
[L_trust] using 20000 ref rows from temp_Unidi_cvae_14param_2channel/proxy_dual\proxy_Ytr_norm.npy
D:\Miniconda\envs\DL\Lib\site-packages\torch\optim\lr_scheduler.py:182: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
 >> Epoch 001 | Train Total=23.4998 | Val post/prior Total=13.3717/11.9172, Recon post/prior=0.9300/0.9115, KL=3.3498, | CycSim post total/iv/gm=1.0761/0.4714/0.6048, | CycSim prior total/iv/gm=1.1001/0.4810/0.6190, | CycMeas total/iv/gm=0.4264/0.2046/0.2218, | PriorBnd post/prior=9.77e-04/3.97e-04 | Best inf | Patience 1/80
[Update] best val_cyc_meas improved to 0.426414 @ epoch 1
 >> Epoch 002 | Train Total=10.8286 | Val post/prior Total=11.1705/9.7230, Recon post/prior=0.9300/0.9224, KL=1.9593, | CycSim post total/iv/gm=0.9255/0.4100/0.5155, | CycSim prior total/iv/gm=0.8795/0.3895/0.4900, | CycMeas total/iv/gm=0.2489/0.1296/0.1193, | PriorBnd post/prior=1.21e-03/9.52e-04 | Best 0.4264 | Patience 1/80
[Update] best val_cyc_meas improved to 0.248936 @ epoch 2
 >> Epoch 003 | Train Total=9.1731 | Val post/prior Total=10.5376/9.7251, Recon post/prior=0.9454/0.9437, KL=1.4588, | CycSim post total/iv/gm=0.8856/0.3942/0.4915, | CycSim prior total/iv/gm=0.8774/0.3889/0.4885, | CycMeas total/iv/gm=0.2224/0.1088/0.1135, | PriorBnd post/prior=2.04e-03/1.97e-03 | Best 0.2489 | Patience 1/80
[Update] best val_cyc_meas improved to 0.222368 @ epoch 3
 >> Epoch 004 | Train Total=8.2525 | Val post/prior Total=10.7746/10.0734, Recon post/prior=0.9416/0.9395, KL=1.2335, | CycSim post total/iv/gm=0.9210/0.4073/0.5137, | CycSim prior total/iv/gm=0.9127/0.4030/0.5097, | CycMeas total/iv/gm=0.2566/0.1170/0.1396, | PriorBnd post/prior=1.32e-03/6.37e-04 | Best 0.2224 | Patience 1/80
 >> Epoch 005 | Train Total=7.6467 | Val post/prior Total=11.5647/10.8721, Recon post/prior=0.9542/0.9577, KL=1.3851, | CycSim post total/iv/gm=0.9911/0.4357/0.5554, | CycSim prior total/iv/gm=0.9906/0.4349/0.5556, | CycMeas total/iv/gm=0.3512/0.1570/0.1941, | PriorBnd post/prior=1.88e-03/1.63e-03 | Best 0.2224 | Patience 2/80
 >> Epoch 006 | Train Total=7.2698 | Val post/prior Total=9.6424/8.9952, Recon post/prior=0.9372/0.9429, KL=1.2317, | CycSim post total/iv/gm=0.8082/0.3540/0.4542, | CycSim prior total/iv/gm=0.8044/0.3511/0.4533, | CycMeas total/iv/gm=0.3807/0.1682/0.2125, | PriorBnd post/prior=1.05e-03/5.88e-04 | Best 0.2224 | Patience 3/80
 >> Epoch 007 | Train Total=6.8755 | Val post/prior Total=10.1243/9.3611, Recon post/prior=0.9356/0.9420, KL=1.4995, | CycSim post total/iv/gm=0.8432/0.3677/0.4755, | CycSim prior total/iv/gm=0.8410/0.3651/0.4759, | CycMeas total/iv/gm=0.4590/0.2043/0.2547, | PriorBnd post/prior=1.14e-03/4.02e-04 | Best 0.2224 | Patience 4/80
 >> Epoch 008 | Train Total=6.7009 | Val post/prior Total=10.1472/9.4418, Recon post/prior=0.9335/0.9383, KL=1.2535, | CycSim post total/iv/gm=0.8580/0.3743/0.4837, | CycSim prior total/iv/gm=0.8494/0.3692/0.4801, | CycMeas total/iv/gm=0.4613/0.2078/0.2534, | PriorBnd post/prior=6.89e-04/3.08e-04 | Best 0.2224 | Patience 5/80
